               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10804,            0.020286,                   0,           0.0014042,              0.1345,          0.00079538,           0.0001639,            0.091394,            0.019293,                   0,             0.00023,             0.00023,             0.09793
                   1,            0.098277,            0.021036,                   0,            0.001551,             0.12865,           0.0010029,          0.00018499,            0.085618,            0.018974,                   0,           0.0004699,           0.0004699,             0.09577
                   2,            0.092073,            0.021362,                   0,           0.0034824,             0.23392,            0.002233,          0.00041027,            0.081706,            0.018798,                   0,          0.00070937,          0.00070937,            0.093609
                   3,              0.0868,            0.021922,                   0,           0.0091991,              0.2924,           0.0058151,           0.0010323,            0.077594,            0.018575,                   0,           0.0009481,           0.0009481,            0.091448
                   4,            0.080963,            0.021668,                   0,            0.068377,             0.18713,            0.034494,           0.0063161,            0.074019,            0.017988,                   0,           0.0011858,           0.0011858,            0.089286
                   5,            0.074272,            0.021753,                   0,               0.306,             0.27485,             0.23431,            0.062899,            0.063352,            0.017215,                   0,           0.0014221,           0.0014221,            0.087122
                   6,            0.067091,            0.020913,                   0,             0.30422,             0.47368,             0.26434,            0.093663,            0.057562,            0.015559,                   0,           0.0016567,           0.0016567,            0.084957
                   7,            0.063282,            0.019071,                   0,              0.4449,             0.47953,             0.38284,             0.10097,             0.05644,            0.013931,                   0,           0.0018893,           0.0018893,            0.082789
                   8,            0.060487,            0.017279,                   0,             0.40596,             0.59547,             0.39889,             0.16782,            0.052083,              0.0135,                   0,           0.0021196,           0.0021196,             0.08062
                   9,            0.058597,            0.016806,                   0,             0.69485,             0.76023,             0.70228,             0.32465,            0.045599,            0.012717,                   0,           0.0023473,           0.0023473,            0.078447
                  10,            0.057378,            0.015891,                   0,             0.36927,             0.88304,             0.40284,             0.19319,             0.04593,            0.012804,                   0,           0.0025721,           0.0025721,            0.076272
                  11,             0.05442,            0.016278,                   0,             0.39935,             0.87135,             0.43648,             0.14133,            0.050386,            0.011807,                   0,           0.0027936,           0.0027936,            0.074094
                  12,            0.053651,            0.015625,                   0,             0.37029,             0.89474,             0.36282,             0.17896,            0.043462,            0.012358,                   0,           0.0030117,           0.0030117,            0.071912
                  13,            0.051622,            0.015427,                   0,             0.48383,             0.79483,              0.5514,             0.22823,            0.047098,            0.011124,                   0,            0.003226,            0.003226,            0.069726
                  14,            0.049371,            0.014767,                   0,             0.55927,             0.82373,             0.71361,             0.40667,             0.04175,            0.010953,                   0,           0.0034362,           0.0034362,            0.067536
                  15,            0.049588,            0.014508,                   0,             0.46891,             0.84211,             0.55086,             0.30627,            0.039443,             0.01109,                   0,           0.0036421,           0.0036421,            0.065342
                  16,            0.046961,            0.014152,                   0,              0.4546,             0.91151,             0.49819,             0.28553,            0.042447,             0.01081,                   0,           0.0038435,           0.0038435,            0.063143
                  17,            0.047743,            0.014423,                   0,             0.49107,             0.88592,             0.51882,             0.30902,             0.03911,            0.010296,                   0,           0.0040399,           0.0040399,             0.06094
                  18,            0.045849,            0.013391,                   0,             0.57888,             0.74269,             0.69544,             0.43902,            0.037466,            0.010227,                   0,           0.0042313,           0.0042313,            0.058731
                  19,            0.044509,            0.014182,                   0,              0.4456,             0.91228,             0.43486,              0.2566,              0.0397,            0.010999,                   0,           0.0044173,           0.0044173,            0.056517
                  20,             0.04517,            0.012761,                   0,             0.45212,             0.88889,             0.45479,             0.27855,             0.03818,            0.010469,                   0,           0.0045977,           0.0045977,            0.054298
                  21,            0.053165,            0.013502,                   0,             0.49142,             0.81287,             0.65769,             0.39591,            0.039114,           0.0099423,                   0,           0.0047724,           0.0047724,            0.052072
                  22,            0.050524,            0.013369,                   0,             0.47223,             0.90643,             0.46782,             0.26918,            0.044587,            0.010208,                   0,            0.004941,            0.004941,            0.049841
                  23,            0.049313,             0.01276,                   0,             0.56209,             0.81871,             0.74255,             0.48319,             0.03632,            0.010116,                   0,           0.0051034,           0.0051034,            0.047603
                  24,            0.045474,            0.012899,                   0,             0.52223,             0.90058,             0.64069,             0.39599,             0.03611,           0.0097977,                   0,           0.0052594,           0.0052594,            0.045359
                  25,            0.048284,            0.013175,                   0,             0.74287,             0.76608,             0.81428,             0.51676,            0.034241,           0.0091183,                   0,           0.0054089,           0.0054089,            0.043109
                  26,            0.045104,             0.01238,                   0,             0.59763,             0.79909,             0.67221,             0.43844,            0.036087,           0.0094712,                   0,           0.0055516,           0.0055516,            0.040852
                  27,             0.04536,            0.012821,                   0,             0.44035,             0.92947,              0.4332,             0.25034,            0.037952,            0.010498,                   0,           0.0056873,           0.0056873,            0.038587
                  28,            0.043127,            0.012703,                   0,             0.43495,             0.94152,             0.42824,             0.27146,            0.036378,            0.010501,                   0,            0.005816,            0.005816,            0.036316
                  29,            0.042069,            0.011813,                   0,             0.50504,             0.85329,             0.54362,             0.33477,            0.037167,           0.0095758,                   0,           0.0059376,           0.0059376,            0.034038
                  30,            0.043835,            0.012607,                   0,             0.47216,             0.90058,             0.57674,             0.38689,            0.033879,           0.0096813,                   0,           0.0060518,           0.0060518,            0.031752
                  31,            0.042181,            0.012731,                   0,             0.44597,             0.94146,             0.46634,             0.30991,            0.036199,            0.010421,                   0,           0.0061585,           0.0061585,            0.029459
                  32,            0.040697,             0.01191,                   0,             0.44196,             0.95872,             0.46605,             0.27979,            0.037483,            0.010228,                   0,           0.0062578,           0.0062578,            0.027158
                  33,            0.041678,            0.012389,                   0,             0.48181,             0.87135,             0.51531,             0.34758,             0.03433,            0.009734,                   0,           0.0063494,           0.0063494,            0.024849
                  34,            0.039675,            0.011861,                   0,              0.4814,              0.9174,             0.51551,              0.3465,            0.033375,           0.0097889,                   0,           0.0064334,           0.0064334,            0.022533
                  35,            0.039494,            0.012407,                   0,             0.48884,             0.90599,              0.5947,             0.40073,            0.033454,           0.0094095,                   0,           0.0065096,           0.0065096,             0.02021
                  36,            0.037457,            0.011874,                   0,             0.44306,             0.95906,             0.45854,             0.29804,            0.035125,           0.0099406,                   0,            0.006578,            0.006578,            0.017878
                  37,            0.039086,            0.011782,                   0,             0.45203,             0.97076,             0.45407,             0.30027,            0.035367,            0.010062,                   0,           0.0066386,           0.0066386,            0.015539
                  38,             0.03627,            0.012111,                   0,             0.55652,             0.88889,              0.6585,             0.41566,            0.033304,           0.0090555,                   0,           0.0066914,           0.0066914,            0.013191
                  39,            0.037196,            0.011923,                   0,             0.46215,              0.9095,              0.5143,             0.31637,            0.034362,           0.0098666,                   0,           0.0067363,           0.0067363,            0.010836
                  40,            0.036903,            0.011629,                   0,             0.44147,             0.92982,             0.43649,             0.28641,            0.034817,            0.010253,                   0,           0.0067734,           0.0067734,           0.0084734
                  41,            0.036105,            0.012063,                   0,             0.46398,             0.90643,             0.46175,             0.30219,              0.0318,            0.010229,                   0,           0.0067555,           0.0067555,           0.0067555
                  42,             0.03562,            0.011289,                   0,             0.55146,             0.84211,             0.68521,              0.4662,            0.032169,           0.0092226,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.034824,            0.011612,                   0,             0.65194,             0.78947,             0.71218,             0.48509,            0.031729,           0.0087459,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.034157,            0.012224,                   0,             0.64292,             0.74269,             0.66928,             0.46897,            0.031259,           0.0089058,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.034699,            0.011553,                   0,             0.57886,             0.83626,             0.69959,             0.47164,            0.032291,           0.0090665,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.033695,            0.011118,                   0,             0.41829,             0.95037,             0.48714,              0.3236,            0.035417,            0.010604,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.032526,            0.011378,                   0,             0.53082,             0.80057,             0.61835,             0.43355,            0.028857,           0.0089261,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.033219,            0.011689,                   0,             0.48814,             0.88889,             0.54999,             0.39828,             0.03208,           0.0095364,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031395,            0.011329,                   0,             0.53338,             0.83041,             0.60377,             0.43502,            0.029793,           0.0089705,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.031427,            0.011351,                   0,             0.45022,             0.90032,             0.45507,             0.31586,            0.032324,            0.010732,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030716,            0.011025,                   0,             0.44776,             0.92933,             0.45533,             0.31166,            0.033294,            0.010748,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.029647,            0.011193,                   0,             0.44997,             0.94727,             0.49572,             0.33752,            0.033221,            0.010611,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.030746,            0.010708,                   0,             0.59505,              0.7476,             0.69054,             0.47819,            0.031196,           0.0087523,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,             0.02981,            0.011127,                   0,             0.58522,              0.8416,             0.68245,             0.49109,             0.02905,           0.0082231,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028853,            0.010522,                   0,             0.52787,             0.88304,             0.63114,             0.45631,            0.028204,           0.0092981,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.028799,            0.010323,                   0,             0.44491,             0.94737,             0.48605,             0.34884,            0.031956,            0.011062,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.028646,            0.010255,                   0,             0.55255,             0.76549,             0.65266,             0.46859,            0.030155,           0.0095646,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.028085,            0.010819,                   0,             0.44573,             0.88889,             0.49254,             0.35219,            0.030477,            0.011135,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027704,            0.010212,                   0,             0.53281,              0.8538,             0.63715,             0.44484,            0.030016,           0.0093926,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027607,             0.01017,                   0,             0.54853,             0.82419,             0.62987,             0.45479,            0.029814,            0.009333,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.028154,            0.010297,                   0,             0.45063,             0.82987,             0.49909,             0.35315,             0.03124,            0.011477,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026619,            0.010022,                   0,             0.46069,             0.85965,             0.56871,             0.42399,            0.031233,             0.01065,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.025751,           0.0097292,                   0,             0.48701,              0.8883,             0.60573,              0.4425,               0.029,            0.010458,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.025101,           0.0097772,                   0,             0.56287,             0.85965,             0.67308,             0.49201,            0.027663,           0.0095852,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025889,           0.0099271,                   0,             0.49979,             0.76023,             0.55514,             0.40744,            0.029859,             0.01133,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.024831,           0.0095268,                   0,             0.53377,             0.87719,             0.69661,              0.5261,            0.027508,           0.0097353,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.024142,           0.0094916,                   0,             0.44058,             0.87719,             0.45972,              0.3366,             0.03164,            0.012972,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023621,           0.0092397,                   0,             0.44117,             0.92332,             0.47196,             0.35009,            0.030583,            0.012513,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024211,           0.0095748,                   0,             0.46883,             0.88889,              0.5546,             0.41937,            0.030502,            0.011427,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023383,           0.0090152,                   0,             0.44209,             0.87119,             0.55177,             0.40756,            0.030815,            0.011992,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022404,           0.0088124,                   0,             0.47528,             0.84795,             0.57729,             0.43921,            0.028218,            0.011206,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.022717,            0.009038,                   0,             0.48381,             0.79532,             0.53989,             0.40168,            0.029039,            0.012142,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022107,           0.0080028,                   0,             0.55633,              0.7773,             0.68108,             0.50805,            0.029576,            0.010584,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,              0.0217,           0.0086418,                   0,             0.45249,             0.95322,             0.57585,             0.43645,            0.028547,            0.011093,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,             0.02129,           0.0084319,                   0,             0.49629,             0.80089,              0.5792,             0.43943,            0.027416,            0.011598,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020565,           0.0080668,                   0,             0.47246,              0.8538,             0.56067,             0.42417,            0.028235,            0.011964,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.019953,           0.0082198,                   0,             0.42943,             0.90643,             0.46582,             0.35317,            0.030498,            0.014131,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.019393,           0.0079188,                   0,             0.56675,             0.81871,             0.70335,             0.54876,            0.026689,            0.010125,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.020322,           0.0075196,                   0,              0.5668,             0.71923,             0.62786,             0.47708,            0.028393,            0.011687,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019632,           0.0079278,                   0,             0.47669,             0.92398,             0.62563,             0.48573,            0.029519,            0.011812,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019405,           0.0078838,                   0,             0.52639,              0.8655,              0.6135,             0.47598,            0.026966,            0.010483,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.018969,           0.0074311,                   0,             0.47757,             0.88889,             0.52123,             0.39425,            0.028614,            0.012793,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.018442,           0.0069802,                   0,             0.50706,             0.83041,             0.56819,             0.43921,            0.028375,            0.012679,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.018441,           0.0073259,                   0,             0.53173,             0.83006,             0.63616,             0.49312,            0.028426,            0.011922,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.017016,           0.0067227,                   0,             0.59219,             0.82456,             0.71365,             0.55565,             0.02695,            0.010901,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,             0.01824,           0.0068661,                   0,             0.55285,             0.82425,             0.65616,             0.50917,            0.027085,            0.011601,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.017654,            0.006971,                   0,             0.51866,             0.87135,             0.66532,             0.52067,            0.026998,            0.011715,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.016701,           0.0065868,                   0,             0.54848,             0.85965,              0.7268,             0.57311,            0.026677,            0.010519,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.017582,           0.0069236,                   0,             0.49598,             0.90643,             0.62694,              0.4807,            0.028765,            0.012281,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.017827,           0.0071596,                   0,             0.52159,             0.77193,             0.61212,             0.47752,            0.028631,            0.012678,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.016793,           0.0065792,                   0,             0.48648,             0.85965,             0.57082,              0.4403,            0.028159,            0.013385,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.016766,           0.0070378,                   0,             0.67367,             0.74849,             0.76033,              0.6004,            0.024747,            0.010114,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.016491,           0.0066548,                   0,             0.57819,             0.77778,             0.66974,             0.52601,            0.026003,            0.011534,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.016932,           0.0064524,                   0,             0.60787,             0.78947,             0.73134,              0.5831,            0.025241,            0.010795,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.016089,           0.0062216,                   0,             0.50516,             0.83041,             0.64091,             0.49963,            0.027301,            0.012519,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.016076,           0.0065936,                   0,             0.56694,             0.76559,             0.69273,             0.54178,            0.026798,            0.011709,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.016047,           0.0061819,                   0,             0.52386,             0.82456,             0.65426,             0.51228,            0.027378,            0.012239,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.016009,           0.0063358,                   0,             0.64315,             0.74834,             0.73702,             0.57879,            0.025696,            0.010998,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.016454,            0.006482,                   0,             0.52821,             0.76023,             0.59435,             0.46841,            0.027667,            0.013117,                   0,           0.0010089,           0.0010089,           0.0010089
